communityIdNumber,communityName,county,state,initialFloodHazardBoundaryMap,initialFloodInsuranceRateMap,currentlyEffectiveMapDate,regularEmergencyProgramDate,tribal,participatingInNFIP,originalEntryDate,classRatingEffectiveDate,classRating,sfhaDiscount,nonSfhaDiscount,lastRefresh
361173,"CLIFTON, TOWN OF",ST. LAWRENCE COUNTY,NY,1974-11-29T00:00:00.000Z,1986-05-15T00:00:00.000Z,05/15/86(M),05/15/86,0,1,,,,,,2024-11-09T09:17:21.978Z
361174,"DE KALB, TOWN OF",ST. LAWRENCE COUNTY,NY,1975-01-10T00:00:00.000Z,,(NSFHA),12/19/84,0,1,,,,,,2024-11-09T09:17:21.984Z
361175,"DE PEYSTER, TOWN OF",ST. LAWRENCE COUNTY,NY,1975-02-14T00:00:00.000Z,1982-07-23T00:00:00.000Z,07/23/82(M),07/23/82,0,1,,,,,,2024-11-09T09:17:21.991Z
361176,"EDWARDS, TOWN OF",ST. LAWRENCE COUNTY,NY,1975-01-24T00:00:00.000Z,1982-07-30T00:00:00.000Z,07/30/82(M),07/30/82,0,1,,,,,,2024-11-09T09:17:21.997Z
361177,"FINE, TOWN OF",ST. LAWRENCE COUNTY,NY,1975-01-10T00:00:00.000Z,1985-05-01T00:00:00.000Z,05/01/85(M),05/01/85,0,1,,,,,,2024-11-09T09:17:22.003Z
361178,"GOUVERNEUR, TOWN OF",ST. LAWRENCE COUNTY,NY,1975-01-24T00:00:00.000Z,1982-08-06T00:00:00.000Z,08/06/82(M),08/06/82,0,1,,,,,,2024-11-09T09:17:22.009Z
361179,"HOPKINTON, TOWN OF",ST. LAWRENCE COUNTY,NY,1974-11-15T00:00:00.000Z,1982-11-12T00:00:00.000Z,11/12/82(M),11/12/82,0,1,,,,,,2024-11-09T09:17:22.015Z
361180,"LOUISVILLE, TOWN OF",ST. LAWRENCE COUNTY,NY,1974-12-13T00:00:00.000Z,,(NSFHA),12/19/84,0,1,,,,,,2024-11-09T09:17:22.021Z
361181,"MADRID, TOWN OF",ST. LAWRENCE COUNTY,NY,1974-11-01T00:00:00.000Z,,(NSFHA),12/19/84,0,1,,,,,,2024-11-09T09:17:22.027Z
361182,"MASSENA, TOWN OF",ST. LAWRENCE COUNTY,NY,1974-10-25T00:00:00.000Z,1986-06-17T00:00:00.000Z,06/17/86(M),06/17/86,0,1,,,,,,2024-11-09T09:17:22.033Z
361183,"NORFOLK, TOWN OF",ST. LAWRENCE COUNTY,NY,1974-12-27T00:00:00.000Z,1986-04-15T00:00:00.000Z,04/15/86(M),04/15/86,0,1,,,,,,2024-11-09T09:17:22.039Z
361184,"PITCAIRN, TOWN OF",ST. LAWRENCE COUNTY,NY,1978-03-31T00:00:00.000Z,1982-08-13T00:00:00.000Z,08/13/82(M),08/13/82,0,1,,,,,,2024-11-09T09:17:22.045Z
361185,"POTSDAM,TOWN OF",ST. LAWRENCE COUNTY,NY,1974-11-15T00:00:00.000Z,1986-03-04T00:00:00.000Z,03/04/86(M),03/04/86,0,1,,,,,,2024-11-09T09:17:22.051Z
361187,"WADDINGTON, TOWN OF",ST. LAWRENCE COUNTY,NY,1974-12-13T00:00:00.000Z,1986-04-15T00:00:00.000Z,04/15/86(M),04/15/86,0,1,,,,,,2024-11-09T09:17:22.063Z
060333,"GUADALUPE, CITY OF",SANTA BARBARA COUNTY,CA,1974-05-17T00:00:00.000Z,2005-09-30T00:00:00.000Z,09/30/05,04/30/82,0,1,,,,,,2024-11-09T09:15:59.620Z
361188,"DAY, TOWN OF",SARATOGA COUNTY,NY,1974-11-15T00:00:00.000Z,1995-08-16T00:00:00.000Z,(NSFHA),06/22/84,0,1,,,,,,2024-11-09T09:17:22.069Z
361190,"PROVIDENCE, TOWN OF",SARATOGA COUNTY,NY,1974-11-15T00:00:00.000Z,1995-08-16T00:00:00.000Z,08/16/95,12/02/85,0,1,,,,,,2024-11-09T09:17:22.075Z
361191,"DUANESBURG, TOWN OF",SCHENECTADY COUNTY,NY,1974-10-25T00:00:00.000Z,1989-02-17T00:00:00.000Z,01/08/14,02/17/89,0,1,,,,,,2024-11-09T09:17:22.081Z
361194,"ESPERANCE, TOWN OF",SCHOHARIE COUNTY,NY,1974-10-18T00:00:00.000Z,1983-03-02T00:00:00.000Z,04/02/04,03/02/83,0,1,2010-10-01T00:00:00.000Z,2010-10-01T00:00:00.000Z,9,05%,05%,2024-11-09T09:17:22.100Z
361196,"JEFFERSON, TOWN OF",SCHOHARIE COUNTY,NY,1977-08-12T00:00:00.000Z,1988-05-01T00:00:00.000Z,04/02/04,05/01/88,0,1,,,,,,2024-11-09T09:17:22.112Z
361197,"RICHMONDVILLE, TOWN OF",SCHOHARIE COUNTY,NY,1974-11-29T00:00:00.000Z,1988-01-01T00:00:00.000Z,02/16/12,01/01/88,0,1,,,,,,2024-11-09T09:17:22.118Z
361198,"SCHOHARIE, TOWN OF",SCHOHARIE COUNTY,NY,1976-10-22T00:00:00.000Z,1985-05-01T00:00:00.000Z,04/02/04,05/01/85,0,1,,,,,,2024-11-09T09:17:22.124Z
361199,"SEWARD, TOWN OF",SCHOHARIE COUNTY,NY,1974-09-20T00:00:00.000Z,1988-09-01T00:00:00.000Z,02/16/12(M),09/01/88,0,1,,,,,,2024-11-09T09:17:22.130Z
361200,"SHARON, TOWN OF",SCHOHARIE COUNTY,NY,1974-11-08T00:00:00.000Z,1988-02-01T00:00:00.000Z,02/16/12(M),02/01/88,0,1,,,,,,2024-11-09T09:17:22.137Z
361201,"SUMMIT, TOWN OF",SCHOHARIE COUNTY,NY,1978-03-31T00:00:00.000Z,1983-11-18T00:00:00.000Z,02/16/12(M),11/18/83,0,1,,,,,,2024-11-09T09:17:22.143Z
361202,"WRIGHT, TOWN OF",SCHOHARIE COUNTY,NY,1974-11-08T00:00:00.000Z,1983-11-18T00:00:00.000Z,04/02/04,11/18/83,0,1,,,,,,2024-11-09T09:17:22.148Z
361203,"CAYUTA, TOWN OF",SCHUYLER COUNTY,NY,1974-11-15T00:00:00.000Z,1984-09-24T00:00:00.000Z,09/24/84(M),09/24/84,0,1,,,,,,2024-11-09T09:17:22.154Z
361204,"HECTOR, TOWN OF",SCHUYLER COUNTY,NY,1974-12-06T00:00:00.000Z,1975-10-24T00:00:00.000Z,07/20/84(M),07/20/84,0,1,,,,,,2024-11-09T09:17:22.160Z
361206,"TYRE, TOWN OF",SENECA COUNTY,NY,1974-10-18T00:00:00.000Z,1979-08-31T00:00:00.000Z,08/31/79(M),08/31/79,0,1,,,,,,2024-11-09T09:17:22.174Z
361207,"BRADFORD, TOWN OF",STEUBEN COUNTY,NY,1974-12-13T00:00:00.000Z,1984-09-24T00:00:00.000Z,09/24/84(M),09/24/84,0,1,,,,,,2024-11-09T09:17:22.180Z
361208,"CAMERON, TOWN OF",STEUBEN COUNTY,NY,1975-01-10T00:00:00.000Z,1984-12-18T00:00:00.000Z,05/15/91,12/18/84,0,1,,,,,,2024-11-09T09:17:22.186Z
480189,"UNIVERSITY PARK, CITY OF",DALLAS COUNTY,TX,1974-05-24T00:00:00.000Z,1979-11-15T00:00:00.000Z,07/07/14,11/15/79,0,1,,,,,,2024-11-09T09:18:04.392Z
480657,"WHEELER, CITY OF",WHEELER COUNTY,TX,1974-03-29T00:00:00.000Z,1988-07-01T00:00:00.000Z,07/01/88(L),07/01/88,0,1,,,,,,2024-11-09T09:18:08.779Z
480658,"BURKBURNETT, CITY OF",WICHITA COUNTY,TX,1974-06-07T00:00:00.000Z,1982-12-15T00:00:00.000Z,02/03/10,12/15/82,0,1,,,,,,2024-11-09T09:18:08.786Z
480659,"ELECTRA, CITY OF",WICHITA COUNTY,TX,1976-12-03T00:00:00.000Z,2010-02-03T00:00:00.000Z,02/03/10(M),08/03/84,0,1,,,,,,2024-11-09T09:18:08.793Z
480660,"IOWA PARK, CITY OF",WICHITA COUNTY,TX,1974-04-05T00:00:00.000Z,1982-12-15T00:00:00.000Z,02/03/10,12/15/82,0,1,,,,,,2024-11-09T09:18:08.804Z
060353,SANTA CRUZ COUNTY *,SANTA CRUZ COUNTY,CA,1974-08-16T00:00:00.000Z,1986-04-15T00:00:00.000Z,09/29/17,04/15/86,0,1,2012-10-01T00:00:00.000Z,2012-10-01T00:00:00.000Z,8,10%,05%,2024-11-09T09:15:59.783Z
060354,"CAPITOLA, CITY OF",SANTA CRUZ COUNTY,CA,1974-05-17T00:00:00.000Z,1984-08-15T00:00:00.000Z,09/29/17,08/15/84,0,1,,,,,,2024-11-09T09:15:59.790Z
060355,"SANTA CRUZ, CITY OF",SANTA CRUZ COUNTY,CA,1974-03-08T00:00:00.000Z,1985-02-15T00:00:00.000Z,09/29/17,02/15/85,0,1,1992-10-01T00:00:00.000Z,2002-05-01T00:00:00.000Z,7,15%,05%,2024-11-09T09:15:59.797Z
060356,"SCOTTS VALLEY, CITY OF",SANTA CRUZ COUNTY,CA,1974-05-31T00:00:00.000Z,1983-10-18T00:00:00.000Z,05/16/12,10/18/83,0,1,,,,,,2024-11-09T09:15:59.804Z
060357,"WATSONVILLE, CITY OF",SANTA CRUZ COUNTY,CA,1974-03-22T00:00:00.000Z,1984-06-15T00:00:00.000Z,05/16/12,06/15/84,0,1,1992-10-01T00:00:00.000Z,2024-04-01T00:00:00.000Z,8,10%,05%,2024-11-09T09:15:59.812Z
060358,SHASTA COUNTY *,SHASTA COUNTY,CA,1977-12-13T00:00:00.000Z,1985-09-27T00:00:00.000Z,05/22/24,09/27/85,0,1,,,,,,2024-11-09T09:15:59.818Z
060359,"ANDERSON, CITY OF",SHASTA COUNTY,CA,1974-06-14T00:00:00.000Z,1977-09-01T00:00:00.000Z,05/22/24,09/01/77,0,1,,,,,,2024-11-09T09:15:59.826Z
060360,"REDDING, CITY OF",SHASTA COUNTY,CA,1974-12-20T00:00:00.000Z,1985-07-03T00:00:00.000Z,05/22/24,07/03/85,0,1,1996-10-01T00:00:00.000Z,2022-10-01T00:00:00.000Z,7,15%,05%,2024-11-09T09:15:59.833Z
060362,SISKIYOU COUNTY*,SISKIYOU COUNTY,CA,1977-11-15T00:00:00.000Z,1982-05-17T00:00:00.000Z,01/19/11,05/17/82,0,1,,,,,,2024-11-09T09:15:59.847Z
060363,"DUNSMUIR, CITY OF",SISKIYOU COUNTY,CA,1974-05-24T00:00:00.000Z,1979-12-04T00:00:00.000Z,01/19/11,12/04/79,0,1,,,,,,2024-11-09T09:15:59.854Z
080077,"CENTRAL CITY , CITY OF",CLEAR CREEK COUNTY/GILPIN COUNTY,CO,1974-08-30T00:00:00.000Z,1986-03-01T00:00:00.000Z,04/06/22,03/01/86,0,1,,,,,,2024-11-09T09:16:01.906Z
080078,GUNNISON COUNTY *,GUNNISON COUNTY,CO,1975-01-03T00:00:00.000Z,1989-09-29T00:00:00.000Z,05/16/13,09/29/89,0,1,1994-10-01T00:00:00.000Z,2018-05-01T00:00:00.000Z,9,05%,05%,2024-11-09T09:16:01.912Z
080079,"CRESTED BUTTE, TOWN OF",GUNNISON COUNTY,CO,1974-06-14T00:00:00.000Z,1985-09-04T00:00:00.000Z,05/16/13,09/04/85,0,1,2023-10-01T00:00:00.000Z,2023-10-01T00:00:00.000Z,6,20%,10%,2024-11-09T09:16:01.918Z
080080,"GUNNISON, CITY OF",GUNNISON COUNTY,CO,1974-03-22T00:00:00.000Z,1983-04-18T00:00:00.000Z,05/16/13,04/18/83,0,1,1995-10-01T00:00:00.000Z,2022-04-01T00:00:00.000Z,7,15%,05%,2024-11-09T09:16:01.925Z
080081,HINSDALE COUNTY*,HINSDALE COUNTY,CO,1977-05-24T00:00:00.000Z,1987-09-30T00:00:00.000Z,09/12/24,09/30/87,0,1,,,,,,2024-11-09T09:16:01.931Z
080082,"LAKE CITY, TOWN OF",HINSDALE COUNTY,CO,1976-08-13T00:00:00.000Z,1987-09-30T00:00:00.000Z,09/12/24,09/30/87,0,1,,,,,,2024-11-09T09:16:01.938Z
361209,"DANSVILLE, TOWN OF",STEUBEN COUNTY,NY,1975-01-24T00:00:00.000Z,1984-03-09T00:00:00.000Z,03/09/84(M),03/09/84,0,1,,,,,,2024-11-09T09:17:22.191Z
361210,"GREENWOOD, TOWN OF",STEUBEN COUNTY,NY,1975-01-03T00:00:00.000Z,1982-09-03T00:00:00.000Z,09/03/82(M),09/03/82,0,1,,,,,,2024-11-09T09:17:22.197Z
361213,"THURSTON, TOWN OF",STEUBEN COUNTY,NY,1974-10-25T00:00:00.000Z,1983-02-11T00:00:00.000Z,02/11/83(M),02/11/83,0,1,,,,,,2024-11-09T09:17:22.220Z
361214,"TUSCARORA, TOWN OF",STEUBEN COUNTY,NY,1974-10-25T00:00:00.000Z,1988-03-01T00:00:00.000Z,03/01/88(L),03/01/88,0,1,,,,,,2024-11-09T09:17:22.227Z
421565,"EAST FAIRFIELD, TOWNSHIP OF",CRAWFORD COUNTY,PA,1974-05-31T00:00:00.000Z,1990-06-18T00:00:00.000Z,08/16/12,06/18/90,0,1,,,,,,2024-11-09T09:17:50.235Z
480190,"WILMER, CITY OF",DALLAS COUNTY,TX,1974-02-01T00:00:00.000Z,1980-09-17T00:00:00.000Z,07/07/14,09/17/80,0,1,,,,,,2024-11-09T09:18:04.399Z
361215,"BERKSHIRE, TOWN OF",TIOGA COUNTY,NY,1974-10-18T00:00:00.000Z,1985-05-15T00:00:00.000Z,04/17/12,05/15/85,0,1,,,,,,2024-11-09T09:17:22.234Z
361216,"RICHFORD, TOWN OF",TIOGA COUNTY,NY,1974-12-20T00:00:00.000Z,1985-05-15T00:00:00.000Z,04/17/12(M),05/15/85,0,1,,,,,,2024-11-09T09:17:22.242Z
361217,"GROTON, TOWN OF",TOMPKINS COUNTY,NY,1975-07-11T00:00:00.000Z,1984-05-04T00:00:00.000Z,10/05/84(M),10/05/84,0,1,,,,,,2024-11-09T09:17:22.250Z
361218,"KINGSTON,TOWN OF",ULSTER COUNTY,NY,1974-10-20T00:00:00.000Z,1982-08-27T00:00:00.000Z,11/18/16,08/27/82,0,1,,,,,,2024-11-09T09:17:22.256Z
361245,"MIDDLEBURGH, VILLAGE OF",SCHOHARIE COUNTY,NY,1974-05-31T00:00:00.000Z,1984-03-15T00:00:00.000Z,04/02/04,03/15/84,0,1,,,,,,2024-11-09T09:17:22.474Z
361246,"WETHERSFIELD, TOWN OF",WYOMING COUNTY,NY,1974-12-13T00:00:00.000Z,1982-07-16T00:00:00.000Z,07/16/82(M),07/16/82,0,1,,,,,,2024-11-09T09:17:22.480Z
361248,"SENECA, TOWN OF",ONTARIO COUNTY,NY,1977-07-15T00:00:00.000Z,1984-06-22T00:00:00.000Z,06/22/84(M),06/22/84,0,1,,,,,,2024-11-09T09:17:22.496Z
361250,"CRAWFORD, TOWN OF",ORANGE COUNTY,NY,1974-11-15T00:00:00.000Z,1982-09-30T00:00:00.000Z,08/03/09,09/30/82,0,1,,,,,,2024-11-09T09:17:22.514Z
361252,"ALBION, TOWN OF",ORLEANS COUNTY,NY,1974-10-25T00:00:00.000Z,1980-08-08T00:00:00.000Z,08/08/80(M),08/08/80,0,1,,,,,,2024-11-09T09:17:22.529Z
361253,"BARRE, TOWN OF",ORLEANS COUNTY,NY,1974-10-25T00:00:00.000Z,1981-10-15T00:00:00.000Z,10/15/81(M),10/15/81,0,1,,,,,,2024-11-09T09:17:22.536Z
361257,"RIDGEWAY,TOWN OF",ORLEANS COUNTY,NY,1975-02-07T00:00:00.000Z,1979-09-14T00:00:00.000Z,09/14/79(M),09/14/79,0,1,,,,,,2024-11-09T09:17:22.569Z
361258,"SHELBY,TOWN OF",ORLEANS COUNTY,NY,1974-11-08T00:00:00.000Z,1975-12-12T00:00:00.000Z,12/23/83(M),12/23/83,0,1,,,,,,2024-11-09T09:17:22.576Z
361260,"AMBOY, TOWN OF",OSWEGO COUNTY,NY,1974-11-15T00:00:00.000Z,1988-03-01T00:00:00.000Z,06/18/13,03/01/88,0,1,,,,,,2024-11-09T09:17:22.590Z
361261,"MINETTO, TOWN OF",OSWEGO COUNTY,NY,1974-11-22T00:00:00.000Z,1981-09-30T00:00:00.000Z,06/18/13,09/30/81,0,1,,,,,,2024-11-09T09:17:22.597Z
361262,"ORWELL, TOWN OF",OSWEGO COUNTY,NY,1974-10-25T00:00:00.000Z,1986-02-19T00:00:00.000Z,06/18/13,02/19/86,0,1,,,,,,2024-11-09T09:17:22.604Z
361265,"REDFIELD, TOWN OF",OSWEGO COUNTY,NY,1974-11-22T00:00:00.000Z,1991-04-01T00:00:00.000Z,06/18/13,04/01/91,0,1,,,,,,2024-11-09T09:17:22.612Z
361266,"VOLNEY, TOWN OF",OSWEGO COUNTY,NY,1974-11-01T00:00:00.000Z,1982-04-15T00:00:00.000Z,06/18/13,04/15/82,0,1,,,,,,2024-11-09T09:17:22.619Z
361276,"OTSEGO, TOWN OF",OTSEGO COUNTY,NY,1974-12-20T00:00:00.000Z,1987-06-01T00:00:00.000Z,03/21/17(M),06/01/87,0,1,,,,,,2024-11-09T09:17:22.687Z
361277,"PITTSFIELD, TOWN OF",OTSEGO COUNTY,NY,1974-10-25T00:00:00.000Z,1983-11-04T00:00:00.000Z,03/21/17,11/04/83,0,1,,,,,,2024-11-09T09:17:22.693Z
361278,"PLAINFIELD, TOWN OF",OTSEGO COUNTY,NY,1974-11-08T00:00:00.000Z,1983-11-04T00:00:00.000Z,03/21/17(M),11/04/83,0,1,,,,,,2024-11-09T09:17:22.699Z
361279,"RICHFIELD, TOWN OF",OTSEGO COUNTY,NY,1974-10-18T00:00:00.000Z,1986-04-15T00:00:00.000Z,03/21/17(M),04/15/86,0,1,,,,,,2024-11-09T09:17:22.705Z
361280,"SPRINGFIELD, TOWN OF",OTSEGO COUNTY,NY,1975-02-14T00:00:00.000Z,1987-06-01T00:00:00.000Z,03/21/17,06/01/87,0,1,,,,,,2024-11-09T09:17:22.711Z
361281,"UNADILLA, TOWN OF",OTSEGO COUNTY,NY,1974-10-18T00:00:00.000Z,1987-09-30T00:00:00.000Z,03/21/17,09/30/87,0,1,,,,,,2024-11-09T09:17:22.717Z
361282,"WESTFORD, TOWN OF",OTSEGO COUNTY,NY,1974-10-25T00:00:00.000Z,1988-06-01T00:00:00.000Z,03/21/17(M),06/01/88,0,1,,,,,,2024-11-09T09:17:22.723Z
361283,"WORCESTER, TOWN OF",OTSEGO COUNTY,NY,1974-11-01T00:00:00.000Z,1988-06-01T00:00:00.000Z,03/21/17(M),06/01/88,0,1,,,,,,2024-11-09T09:17:22.728Z
361284,"OTEGO, TOWN OF",OTSEGO COUNTY,NY,1976-10-29T00:00:00.000Z,1987-02-04T00:00:00.000Z,03/21/17,02/04/87,0,1,,,,,,2024-11-09T09:17:22.734Z
421563,"BLOOMFIELD, TOWNSHIP OF",CRAWFORD COUNTY,PA,1975-01-31T00:00:00.000Z,1986-09-01T00:00:00.000Z,08/16/12(L),09/01/86,0,1,,,,,,2024-11-09T09:17:50.219Z
421568,"OIL CREEK, TOWNSHIP OF",CRAWFORD COUNTY,PA,1976-10-22T00:00:00.000Z,1990-08-15T00:00:00.000Z,08/16/12,08/15/90,0,1,,,,,,2024-11-09T09:17:50.258Z
421569,"RICHMOND, TOWNSHIP OF",CRAWFORD COUNTY,PA,1974-10-25T00:00:00.000Z,1986-09-01T00:00:00.000Z,08/16/12(M),09/01/86,0,1,,,,,,2024-11-09T09:17:50.264Z
361285,"LEICESTER, TOWN OF",LIVINGSTON COUNTY,NY,1974-10-18T00:00:00.000Z,1982-01-20T00:00:00.000Z,01/20/82,01/20/82,0,1,,,,,,2024-11-09T09:17:22.740Z
361287,"NUNDA, TOWN OF",LIVINGSTON COUNTY,NY,1975-01-31T00:00:00.000Z,1985-07-03T00:00:00.000Z,07/03/85(M),07/03/85,0,1,,,,,,2024-11-09T09:17:22.753Z
361288,"SPARTA, TOWN OF",LIVINGSTON COUNTY,NY,1974-11-08T00:00:00.000Z,1982-08-27T00:00:00.000Z,04/05/10,08/27/82,0,1,,,,,,2024-11-09T09:17:22.759Z
361289,"YORK, TOWN OF",LIVINGSTON COUNTY,NY,1974-11-29T00:00:00.000Z,1982-01-20T00:00:00.000Z,01/20/82,01/20/82,0,1,,,,,,2024-11-09T09:17:22.764Z
361290,"CAZENOVIA, TOWN OF",MADISON COUNTY,NY,1974-11-22T00:00:00.000Z,1985-06-19T00:00:00.000Z,06/19/85,06/19/85,0,1,,,,,,2024-11-09T09:17:22.772Z
361291,"DE RUYTER, TOWN OF",MADISON COUNTY,NY,1974-09-20T00:00:00.000Z,1984-06-08T00:00:00.000Z,06/08/84,06/08/84,0,1,,,,,,2024-11-09T09:17:22.778Z
361292,"MADISON, TOWN OF",MADISON COUNTY,NY,1974-12-20T00:00:00.000Z,1983-01-19T00:00:00.000Z,01/19/83,01/19/83,0,1,,,,,,2024-11-09T09:17:22.785Z
361293,"NELSON, TOWN OF",MADISON COUNTY,NY,1974-10-25T00:00:00.000Z,1976-07-09T00:00:00.000Z,10/05/84(M),10/05/84,0,1,,,,,,2024-11-09T09:17:22.791Z
361294,"SMITHFIELD, TOWN OF",MADISON COUNTY,NY,1974-10-25T00:00:00.000Z,1985-04-17T00:00:00.000Z,04/17/85(M),04/17/85,0,1,,,,,,2024-11-09T09:17:22.799Z
361295,"GLEN, TOWN OF",MONTGOMERY COUNTY,NY,1975-01-17T00:00:00.000Z,1986-02-19T00:00:00.000Z,01/19/18,02/19/86,0,1,,,,,,2024-11-09T09:17:22.807Z
361296,"TULLY, TOWN OF",ONONDAGA COUNTY,NY,1974-10-18T00:00:00.000Z,1986-04-30T00:00:00.000Z,11/04/16,04/30/86,0,1,,,,,,2024-11-09T09:17:22.815Z
361297,"CANADICE, TOWN OF",ONTARIO COUNTY,NY,1974-11-08T00:00:00.000Z,1984-05-15T00:00:00.000Z,05/15/84,05/15/84,0,1,,,,,,2024-11-09T09:17:22.823Z
361298,"EAST BLOOMFIELD, TOWN OF",ONTARIO COUNTY,NY,1974-12-20T00:00:00.000Z,1983-08-15T00:00:00.000Z,08/15/83,08/15/83,0,1,,,,,,2024-11-09T09:17:22.830Z
361299,"FARMINGTON, TOWN OF",ONTARIO COUNTY,NY,1974-10-25T00:00:00.000Z,1983-09-30T00:00:00.000Z,09/30/83,09/30/83,0,1,,,,,,2024-11-09T09:17:22.838Z
361300,"HOPEWELL, TOWN OF",ONTARIO COUNTY,NY,1974-10-18T00:00:00.000Z,1984-02-27T00:00:00.000Z,02/27/84(M),02/27/84,0,1,,,,,,2024-11-09T09:17:22.846Z
361301,"MANCHESTER, TOWN OF",ONTARIO COUNTY,NY,1974-11-01T00:00:00.000Z,1976-06-11T00:00:00.000Z,03/09/84(M),03/09/84,0,1,,,,,,2024-11-09T09:17:22.852Z
480661,"PLEASANT VALLEY, CITY OF",WICHITA COUNTY,TX,1976-12-17T00:00:00.000Z,1983-01-06T00:00:00.000Z,02/03/10,01/06/83,0,1,,,,,,2024-11-09T09:18:08.811Z
480662,"WICHITA FALLS, CITY OF",WICHITA COUNTY,TX,1974-06-28T00:00:00.000Z,1979-10-16T00:00:00.000Z,02/03/10,10/16/79,0,1,1991-10-01T00:00:00.000Z,2007-10-01T00:00:00.000Z,8,10%,05%,2024-11-09T09:18:08.819Z
480664,WILLACY COUNTY *,WILLACY COUNTY,TX,1977-08-16T00:00:00.000Z,1984-02-15T00:00:00.000Z,04/05/17,02/15/84,0,1,,,,,,2024-11-09T09:18:08.826Z
480665,"LYFORD, CITY OF",WILLACY COUNTY,TX,1974-05-17T00:00:00.000Z,1981-05-05T00:00:00.000Z,04/05/17,05/05/81,0,1,,,,,,2024-11-09T09:18:08.833Z
480667,"SAN PERLITA, CITY OF",WILLACY COUNTY,TX,1974-10-25T00:00:00.000Z,1981-05-05T00:00:00.000Z,04/05/17,05/05/81,0,1,,,,,,2024-11-09T09:18:08.845Z
480668,"GEORGETOWN, CITY OF",WILLIAMSON COUNTY,TX,1974-03-08T00:00:00.000Z,1991-09-27T00:00:00.000Z,12/20/19,09/27/91,0,1,,,,,,2024-11-09T09:18:08.851Z
480669,"FLORENCE, CITY OF",WILLIAMSON COUNTY,TX,1974-04-12T00:00:00.000Z,1991-09-27T00:00:00.000Z,09/26/08,09/27/91,0,1,,,,,,2024-11-09T09:18:08.858Z
480670,"TAYLOR, CITY OF",WILLIAMSON COUNTY,TX,1974-03-29T00:00:00.000Z,1982-03-01T00:00:00.000Z,12/20/19,03/01/82,0,1,,,,,,2024-11-09T09:18:08.865Z
275237,"LA CRESCENT, CITY OF",WINONA COUNTY/HOUSTON COUNTY,MN,,1973-07-20T00:00:00.000Z,12/07/18,07/20/73,0,1,,,,,,2024-11-09T09:16:56.372Z
361302,"PHELPS, TOWN OF",ONTARIO COUNTY,NY,1974-11-08T00:00:00.000Z,1982-12-03T00:00:00.000Z,12/03/82(M),12/03/82,0,1,,,,,,2024-11-09T09:17:22.859Z
361303,"NEW BERLIN, TOWN OF",CHENANGO COUNTY,NY,1976-05-14T00:00:00.000Z,1985-06-05T00:00:00.000Z,11/26/10,06/05/85,0,1,,,,,,2024-11-09T09:17:22.868Z
361304,"OXFORD, TOWN OF",CHENANGO COUNTY,NY,1974-12-20T00:00:00.000Z,1976-09-24T00:00:00.000Z,11/26/10,08/24/84,0,1,,,,,,2024-11-09T09:17:22.875Z
361305,"PLYMOUTH, TOWN OF",CHENANGO COUNTY,NY,1974-10-18T00:00:00.000Z,1983-11-04T00:00:00.000Z,11/26/10(M),11/04/83,0,1,,,,,,2024-11-09T09:17:22.884Z
361306,"PRESTON, TOWN OF",CHENANGO COUNTY,NY,1975-01-17T00:00:00.000Z,1983-04-01T00:00:00.000Z,11/26/10,04/01/83,0,1,,,,,,2024-11-09T09:17:22.892Z
361307,"SHERBURNE, TOWN OF",CHENANGO COUNTY,NY,1974-10-18T00:00:00.000Z,1976-11-12T00:00:00.000Z,11/26/10,08/24/84,0,1,,,,,,2024-11-09T09:17:22.899Z
361308,"SMYRNA, TOWN OF",CHENANGO COUNTY,NY,1974-12-20T00:00:00.000Z,1984-09-24T00:00:00.000Z,11/26/10,09/24/84,0,1,,,,,,2024-11-09T09:17:22.907Z
361309,"BLACK BROOK, TOWN OF",CLINTON COUNTY,NY,1975-01-10T00:00:00.000Z,1983-08-15T00:00:00.000Z,12/07/23,08/15/83,0,1,,,,,,2024-11-09T09:17:22.915Z
361310,"CHAZY, TOWN OF",CLINTON COUNTY,NY,1977-08-05T00:00:00.000Z,1987-05-19T00:00:00.000Z,12/07/23,05/19/87,0,1,,,,,,2024-11-09T09:17:22.922Z
361311,"CHAMPLAIN, TOWN OF",CLINTON COUNTY,NY,1976-11-12T00:00:00.000Z,1987-09-04T00:00:00.000Z,12/07/23,09/04/87,0,1,,,,,,2024-11-09T09:17:22.929Z
361312,"ANCRAM, TOWN OF",COLUMBIA COUNTY,NY,1974-11-15T00:00:00.000Z,1985-06-05T00:00:00.000Z,06/05/85(M),06/05/85,0,1,,,,,,2024-11-09T09:17:22.935Z
361313,"CANAAN, TOWN OF",COLUMBIA COUNTY,NY,1974-11-01T00:00:00.000Z,1985-07-03T00:00:00.000Z,07/03/85(M),07/03/85,0,1,,,,,,2024-11-09T09:17:22.941Z
361314,"CHATHAM, TOWN OF",COLUMBIA COUNTY,NY,1977-06-10T00:00:00.000Z,1982-12-15T00:00:00.000Z,09/15/93,12/15/82,0,1,,,,,,2024-11-09T09:17:22.947Z
361315,"CLERMONT, TOWNSHIP OF",COLUMBIA COUNTY,NY,1974-11-08T00:00:00.000Z,1984-09-05T00:00:00.000Z,09/05/84,09/05/84,0,1,,,,,,2024-11-09T09:17:22.953Z
